Method,Qubits,Gates (μ),Gates (σ),Depth,Time (ms),Compress.,Complexity,Impl.
FRQI,9.0,121.61,15.6,113.61,1.66,2.06,13.51,2
NEQR,16.0,312.38,67.26,305.38,31.1,0.45,19.52,3
GQIR,12.0,97.96,36.37,90.96,9.79,2.41,8.16,3
MCQI,18.0,923.13,201.77,914.13,92.24,0.13,51.28,4
QRMW,18.0,1977.72,254.19,312.16,20.62,0.37,109.87,4
EFRQI,9.0,87.97,20.8,79.97,1.54,3.15,9.77,3
2D-QSNA,8.0,3.74,0.49,1.0,0.82,256.0,0.47,4
INEQR,16.0,340.88,66.13,333.88,32.73,0.4,21.31,3
QPIE,8.0,121.61,15.6,114.61,10.32,2.3,15.2,4
QLR,16.0,466.89,74.36,459.89,44.88,0.29,29.18,4
SAHQR,17.0,578.42,184.4,571.42,57.07,0.24,34.02,5
